cell	tf
LMPP-3	ITF2_HUMAN.H11MO.0.C
LMPP-3	STAT1_HUMAN.H11MO.1.A
LMPP-3	CEBPE_HUMAN.H11MO.0.A
LMPP-3	SPI1_HUMAN.H11MO.0.A
LMPP-3	TFE2_HUMAN.H11MO.0.A
LMPP-3	IRF8_HUMAN.H11MO.0.B
LMPP-3	TAL1_HUMAN.H11MO.1.A
mDC	GATA1_HUMAN.H11MO.1.A
mDC	BCL6_HUMAN.H11MO.0.A
mDC	BC11A_HUMAN.H11MO.0.A
mDC	SPI1_HUMAN.H11MO.0.A
mDC	IRF8_HUMAN.H11MO.0.B
mDC	TAL1_HUMAN.H11MO.1.A
MEGA1	GATA1_HUMAN.H11MO.1.A
MEGA1	GATA2_HUMAN.H11MO.1.A
MEGA1	SPI1_HUMAN.H11MO.0.A
MEGA1	KLF1_HUMAN.H11MO.0.A
MEGA1	FLI1_HUMAN.H11MO.1.A
MEGA1	RUNX1_HUMAN.H11MO.0.A
MEGA1	ETS1_HUMAN.H11MO.0.A
MEGA1	TAL1_HUMAN.H11MO.1.A
MEGA2	GATA1_HUMAN.H11MO.1.A
MEGA2	GATA2_HUMAN.H11MO.1.A
MEGA2	SPI1_HUMAN.H11MO.0.A
MEGA2	KLF1_HUMAN.H11MO.0.A
MEGA2	FLI1_HUMAN.H11MO.1.A
MEGA2	RUNX1_HUMAN.H11MO.0.A
MEGA2	ETS1_HUMAN.H11MO.0.A
MEGA2	TAL1_HUMAN.H11MO.1.A
MEP-6	FLI1_HUMAN.H11MO.1.A
MEP-6	GABPA_HUMAN.H11MO.0.A
MEP-6	ASCL1_HUMAN.H11MO.0.A
MEP-6	ASCL2_HUMAN.H11MO.0.D
MEP-6	TFE2_HUMAN.H11MO.0.A
MEP-6	KLF1_HUMAN.H11MO.0.A
MEP-6	ETS1_HUMAN.H11MO.0.A
MEP-6	GATA3_HUMAN.H11MO.0.A
MEP-6	GATA5_HUMAN.H11MO.0.D
MEP-6	GATA4_HUMAN.H11MO.0.A
MEP-6	GATA6_HUMAN.H11MO.0.A
MEP-6	GATA2_HUMAN.H11MO.1.A
MEP-6	GATA1_HUMAN.H11MO.1.A
MEP-6	TAL1_HUMAN.H11MO.1.A
Mono-7	SPIB_HUMAN.H11MO.0.A
Mono-7	CEBPA_HUMAN.H11MO.0.A
Mono-7	BC11A_HUMAN.H11MO.0.A
Mono-7	SPI1_HUMAN.H11MO.0.A
Mono-7	CEBPD_HUMAN.H11MO.0.C
Mono-7	CEBPB_HUMAN.H11MO.0.A
Mono-7	CEBPG_HUMAN.H11MO.0.B
Mono-7	SPIC_HUMAN.H11MO.0.D
Mono-7	IRF8_HUMAN.H11MO.0.B
Mono-7	DBP_HUMAN.H11MO.0.B
Mono-7	CEBPE_HUMAN.H11MO.0.A
Mono-7	ATF4_HUMAN.H11MO.0.A
Mono-7	IRF4_HUMAN.H11MO.0.A
Mono-7	IRF1_HUMAN.H11MO.0.A
