cell	tf
MPP-2	EHF_HUMAN.H11MO.0.B
MPP-2	CEBPE_HUMAN.H11MO.0.A
MPP-2	BC11A_HUMAN.H11MO.0.A
MPP-2	ERG_HUMAN.H11MO.0.A
MPP-2	FIGLA_HUMAN.H11MO.0.D
MPP-2	HLF_HUMAN.H11MO.0.C
MPP-2	FLI1_HUMAN.H11MO.1.A
MPP-2	TWST1_HUMAN.H11MO.1.A
MPP-2	RUNX3_HUMAN.H11MO.0.A
MPP-2	ETS2_HUMAN.H11MO.0.B
MPP-2	CTCFL_HUMAN.H11MO.0.A
MPP-2	ETV4_HUMAN.H11MO.0.B
MPP-2	STAT6_HUMAN.H11MO.0.B
MPP-2	DBP_HUMAN.H11MO.0.B
MPP-2	GATA4_HUMAN.H11MO.0.A
MPP-2	MESP1_HUMAN.H11MO.0.D
MPP-2	ELF2_HUMAN.H11MO.0.C
MPP-2	ATF4_HUMAN.H11MO.0.A
MPP-2	CEBPB_HUMAN.H11MO.0.A
pDC	BACH1_HUMAN.H11MO.0.A
pDC	BACH2_HUMAN.H11MO.0.A
pDC	ATF4_HUMAN.H11MO.0.A
pDC	MITF_HUMAN.H11MO.0.A
pDC	CEBPG_HUMAN.H11MO.0.B
pDC	GATA6_HUMAN.H11MO.0.A
pDC	HEN1_HUMAN.H11MO.0.C
pDC	MAFG_HUMAN.H11MO.1.A
pDC	CEBPA_HUMAN.H11MO.0.A
pDC	MYF6_HUMAN.H11MO.0.C
pDC	ETV6_HUMAN.H11MO.0.D
pDC	NDF1_HUMAN.H11MO.0.A
pDC	CTCF_HUMAN.H11MO.0.A
pDC	CEBPD_HUMAN.H11MO.0.C
pDC	EHF_HUMAN.H11MO.0.B
pDC	FOSL1_HUMAN.H11MO.0.A
pDC	FOS_HUMAN.H11MO.0.A
pDC	CEBPB_HUMAN.H11MO.0.A
pDC	RUNX1_HUMAN.H11MO.0.A
pDC	PRDM1_HUMAN.H11MO.0.A
pDC	FLI1_HUMAN.H11MO.1.A
pDC	TBX21_HUMAN.H11MO.0.A
pDC	NFIB_HUMAN.H11MO.0.D
pDC	RORA_HUMAN.H11MO.0.C
pDC	SNAI1_HUMAN.H11MO.0.C
pDC	IRF5_HUMAN.H11MO.0.D
pDC	GATA1_HUMAN.H11MO.1.A
pDC	CEBPE_HUMAN.H11MO.0.A
pDC	IRF7_HUMAN.H11MO.0.C
pDC	JDP2_HUMAN.H11MO.0.D
pDC	GATA3_HUMAN.H11MO.0.A
pDC	EOMES_HUMAN.H11MO.0.D
pDC	ERG_HUMAN.H11MO.0.A
pDC	STAT6_HUMAN.H11MO.0.B
pDC	FOSB_HUMAN.H11MO.0.A
pDC	HLF_HUMAN.H11MO.0.C
pDC	TFAP4_HUMAN.H11MO.0.A
pDC	NFIL3_HUMAN.H11MO.0.D
pDC	DBP_HUMAN.H11MO.0.B
pDC	GATA5_HUMAN.H11MO.0.D
pDC	ELF5_HUMAN.H11MO.0.A
pDC	GATA2_HUMAN.H11MO.1.A
pDC	FIGLA_HUMAN.H11MO.0.D
pDC	TWST1_HUMAN.H11MO.1.A
pDC	MEF2C_HUMAN.H11MO.0.A
pDC	CTCFL_HUMAN.H11MO.0.A
pDC	IRF2_HUMAN.H11MO.0.A
pDC	LYL1_HUMAN.H11MO.0.A
pDC	JUN_HUMAN.H11MO.0.A
pDC	NF2L2_HUMAN.H11MO.0.A
pDC	JUNB_HUMAN.H11MO.0.A
pDC	MAFF_HUMAN.H11MO.1.B
pDC	ETV4_HUMAN.H11MO.0.B
pDC	FOSL2_HUMAN.H11MO.0.A
pDC	STAT2_HUMAN.H11MO.0.A
pDC	MAFK_HUMAN.H11MO.1.A
pDC	MYOG_HUMAN.H11MO.0.B
pDC	GATA4_HUMAN.H11MO.0.A
pDC	NFE2_HUMAN.H11MO.0.A
pDC	ASCL1_HUMAN.H11MO.0.A
